Company,month,BFPP,L01,Actual_EUR,Plan_EUR,Gap_EUR,Gap_%
2236,10,BFPP-1QX,Brand & Marketing Investment,0.0,-1080958.4313283148,1080958.4313283148,-1.0
2236,10,BFPP-1QY,Brand & Marketing Investment,0.0,-2420838.856265639,2420838.856265639,-1.0
2236,10,BFPP-1QZ,Brand & Marketing Investment,0.0,-336190.38272412674,336190.38272412674,-1.0
2236,10,BFPP-1R0,Brand & Marketing Investment,0.0,-936416.9886089136,936416.9886089136,-1.0
2236,10,BFPP-1R2,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1R4,Brand & Marketing Investment,0.0,-610860.5689218838,610860.5689218838,-1.0
2236,10,BFPP-1R7,Brand & Marketing Investment,0.0,-7312548.183940675,7312548.183940675,-1.0
2236,10,BFPP-1R8,Brand & Marketing Investment,0.0,-1776840.4749382017,1776840.4749382017,-1.0
2236,10,BFPP-1R9,Brand & Marketing Investment,0.0,-12571744.6733982,12571744.6733982,-1.0
2236,10,BFPP-1RG,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1SC,Brand & Marketing Investment,0.0,-154688.77849409688,154688.77849409688,-1.0
2236,10,BFPP-1TF,Brand & Marketing Investment,0.0,-18.183405978912948,18.183405978912948,-1.0
2236,10,BFPP-1TG,Brand & Marketing Investment,0.0,-558.7625697727588,558.7625697727588,-1.0
2236,10,BFPP-1TN,Brand & Marketing Investment,0.0,-81870.74823079418,81870.74823079418,-1.0
2236,10,BFPP-1TQ,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1TS,Brand & Marketing Investment,0.0,-159446.47538162075,159446.47538162075,-1.0
2236,10,BFPP-1UB,Brand & Marketing Investment,0.0,-7370062.122980594,7370062.122980594,-1.0
2236,10,BFPP-1X2,Brand & Marketing Investment,0.0,-685525.3109151864,685525.3109151864,-1.0
2236,10,BFPP-1X3,Brand & Marketing Investment,0.0,-233979.31249244735,233979.31249244735,-1.0
2236,10,BFPP-1X4,Brand & Marketing Investment,0.0,-87799713.3036629,87799713.3036629,-1.0
2236,10,BFPP-1X6,Brand & Marketing Investment,0.0,-16390059.532944769,16390059.532944769,-1.0
2236,10,BFPP-1X7,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1X8,Brand & Marketing Investment,0.0,-14346127.9764844,14346127.9764844,-1.0
2236,10,BFPP-1X9,Brand & Marketing Investment,0.0,-2259851.1475933413,2259851.1475933413,-1.0
2236,10,BFPP-1XA,Brand & Marketing Investment,0.0,-81745988.571352,81745988.571352,-1.0
2236,10,BFPP-1XC,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1XE,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1XF,Brand & Marketing Investment,0.0,-2649882.3048292478,2649882.3048292478,-1.0
2236,10,BFPP-1XG,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1XJ,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1XM,Brand & Marketing Investment,0.0,-93.45794756003836,93.45794756003836,-1.0
2236,10,BFPP-1XY,Brand & Marketing Investment,0.0,-2879.092229872324,2879.092229872324,-1.0
2236,10,BFPP-1YI,Brand & Marketing Investment,0.0,-246533.00012342806,246533.00012342806,-1.0
2236,10,BFPP-1YJ,Brand & Marketing Investment,0.0,-1528307.370579083,1528307.370579083,-1.0
2236,10,BFPP-1YK,Brand & Marketing Investment,0.0,-692964.6873060663,692964.6873060663,-1.0
2236,10,BFPP-1YL,Brand & Marketing Investment,0.0,-11069.72399409852,11069.72399409852,-1.0
2236,10,BFPP-1YN,Brand & Marketing Investment,0.0,-633880.2938570576,633880.2938570576,-1.0
2236,10,BFPP-1Z8,Brand & Marketing Investment,0.0,-18703098.245510977,18703098.245510977,-1.0
2236,10,BFPP-1ZA,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1ZB,Brand & Marketing Investment,0.0,-391621.49782881775,391621.49782881775,-1.0
2236,10,BFPP-1ZD,Brand & Marketing Investment,0.0,-1104677.7374185412,1104677.7374185412,-1.0
2236,10,BFPP-1ZE,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1ZG,Brand & Marketing Investment,0.0,-1075459.8855739436,1075459.8855739436,-1.0
2236,10,BFPP-1ZH,Brand & Marketing Investment,0.0,-90281.01091975014,90281.01091975014,-1.0
2236,10,BFPP-1ZM,Brand & Marketing Investment,0.0,-45572.06167477429,45572.06167477429,-1.0
2236,10,BFPP-1ZO,Brand & Marketing Investment,0.0,-139406.93283538436,139406.93283538436,-1.0
2236,10,BFPP-1ZP,Brand & Marketing Investment,0.0,-898509.0386647808,898509.0386647808,-1.0
2236,10,BFPP-1ZV,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-1ZZ,Brand & Marketing Investment,0.0,-4161552.2213150407,4161552.2213150407,-1.0
2236,10,BFPP-201,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-203,Brand & Marketing Investment,0.0,-107898.50648883596,107898.50648883596,-1.0
2236,10,BFPP-204,Brand & Marketing Investment,0.0,-146301.94166722317,146301.94166722317,-1.0
2236,10,BFPP-20D,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-20F,Brand & Marketing Investment,0.0,-13528247.418672185,13528247.418672185,-1.0
2236,10,BFPP-20I,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-20K,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-20L,Brand & Marketing Investment,0.0,-25428948.954206005,25428948.954206005,-1.0
2236,10,BFPP-20N,Brand & Marketing Investment,0.0,-928839.3808367791,928839.3808367791,-1.0
2236,10,BFPP-20O,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-20P,Brand & Marketing Investment,0.0,-41632350.09855962,41632350.09855962,-1.0
2236,10,BFPP-20U,Brand & Marketing Investment,0.0,-5415134.151191784,5415134.151191784,-1.0
2236,10,BFPP-20W,Brand & Marketing Investment,0.0,-396351.24349209055,396351.24349209055,-1.0
2236,10,BFPP-20X,Brand & Marketing Investment,0.0,-159287.27559946635,159287.27559946635,-1.0
2236,10,BFPP-212,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-213,Brand & Marketing Investment,0.0,-4869365.037358891,4869365.037358891,-1.0
2236,10,BFPP-219,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-21L,Brand & Marketing Investment,0.0,-324457.8715654798,324457.8715654798,-1.0
2236,10,BFPP-22S,Brand & Marketing Investment,0.0,-185128.75699134817,185128.75699134817,-1.0
2236,10,BFPP-22T,Brand & Marketing Investment,0.0,-823.4144859673509,823.4144859673509,-1.0
2236,10,BFPP-22U,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-22V,Brand & Marketing Investment,0.0,-400668.6452763326,400668.6452763326,-1.0
2236,10,BFPP-230,Brand & Marketing Investment,0.0,-460094.4948858627,460094.4948858627,-1.0
2236,10,BFPP-232,Brand & Marketing Investment,0.0,-198.8264232328933,198.8264232328933,-1.0
2236,10,BFPP-233,Brand & Marketing Investment,0.0,-23243.6340553512,23243.6340553512,-1.0
2236,10,BFPP-235,Brand & Marketing Investment,0.0,-700.1802484153105,700.1802484153105,-1.0
2236,10,BFPP-236,Brand & Marketing Investment,0.0,-5088.257168098072,5088.257168098072,-1.0
2236,10,BFPP-238,Brand & Marketing Investment,0.0,-4406236.990306939,4406236.990306939,-1.0
2236,10,BFPP-239,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-23B,Brand & Marketing Investment,0.0,-231387.33954556804,231387.33954556804,-1.0
2236,10,BFPP-23D,Brand & Marketing Investment,0.0,-1628642.7063027539,1628642.7063027539,-1.0
2236,10,BFPP-23F,Brand & Marketing Investment,0.0,-40549834.93682954,40549834.93682954,-1.0
2236,10,BFPP-23U,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-23V,Brand & Marketing Investment,0.0,-10260496.739896158,10260496.739896158,-1.0
2236,10,BFPP-23W,Brand & Marketing Investment,0.0,-737429.3220460712,737429.3220460712,-1.0
2236,10,BFPP-23Y,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-241,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-242,Brand & Marketing Investment,0.0,-3446.9861230561028,3446.9861230561028,-1.0
2236,10,BFPP-243,Brand & Marketing Investment,0.0,-231.93767684730432,231.93767684730432,-1.0
2236,10,BFPP-24E,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-24F,Brand & Marketing Investment,0.0,-28026935.904981777,28026935.904981777,-1.0
2236,10,BFPP-24I,Brand & Marketing Investment,0.0,-15855654.200334579,15855654.200334579,-1.0
2236,10,BFPP-24K,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-24L,Brand & Marketing Investment,0.0,-52229742.87154897,52229742.87154897,-1.0
2236,10,BFPP-24R,Brand & Marketing Investment,0.0,-70902.97838884302,70902.97838884302,-1.0
2236,10,BFPP-24S,Brand & Marketing Investment,0.0,-6962.418466289825,6962.418466289825,-1.0
2236,10,BFPP-24T,Brand & Marketing Investment,0.0,-42223.77593269361,42223.77593269361,-1.0
2236,10,BFPP-24V,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-26K,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-277,Brand & Marketing Investment,0.0,-7395527.331885997,7395527.331885997,-1.0
2236,10,BFPP-28C,Brand & Marketing Investment,0.0,-23243.55457428795,23243.55457428795,-1.0
2236,10,BFPP-28F,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-29J,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2A8,Brand & Marketing Investment,0.0,-10611921.059062913,10611921.059062913,-1.0
2236,10,BFPP-2AA,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2AB,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2AC,Brand & Marketing Investment,0.0,-3861713.4608260253,3861713.4608260253,-1.0
2236,10,BFPP-2AD,Brand & Marketing Investment,0.0,-2121041.6952346168,2121041.6952346168,-1.0
2236,10,BFPP-2AG,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2AH,Brand & Marketing Investment,0.0,-422372.2605504249,422372.2605504249,-1.0
2236,10,BFPP-2AK,Brand & Marketing Investment,0.0,-1940075.801380807,1940075.801380807,-1.0
2236,10,BFPP-2AP,Brand & Marketing Investment,0.0,-14389826.135348605,14389826.135348605,-1.0
2236,10,BFPP-2AQ,Brand & Marketing Investment,0.0,-3215368.5034863804,3215368.5034863804,-1.0
2236,10,BFPP-2AR,Brand & Marketing Investment,0.0,-70510404.20300205,70510404.20300205,-1.0
2236,10,BFPP-2AT,Brand & Marketing Investment,0.0,-9324357.626195613,9324357.626195613,-1.0
2236,10,BFPP-2AW,Brand & Marketing Investment,0.0,-526566.2050533812,526566.2050533812,-1.0
2236,10,BFPP-2AZ,Brand & Marketing Investment,0.0,-869825.1360293196,869825.1360293196,-1.0
2236,10,BFPP-2B3,Brand & Marketing Investment,0.0,-710261.8021605295,710261.8021605295,-1.0
2236,10,BFPP-2B6,Brand & Marketing Investment,0.0,-3749465.453016937,3749465.453016937,-1.0
2236,10,BFPP-2B8,Brand & Marketing Investment,0.0,-4302046.070930793,4302046.070930793,-1.0
2236,10,BFPP-2BW,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2C6,Brand & Marketing Investment,0.0,-324729.02896701696,324729.02896701696,-1.0
2236,10,BFPP-2C7,Brand & Marketing Investment,0.0,-28889178.943402223,28889178.943402223,-1.0
2236,10,BFPP-2C8,Brand & Marketing Investment,0.0,-3995291.7801010027,3995291.7801010027,-1.0
2236,10,BFPP-2C9,Brand & Marketing Investment,0.0,-15719145.745906748,15719145.745906748,-1.0
2236,10,BFPP-2CB,Brand & Marketing Investment,0.0,-422159.54556485335,422159.54556485335,-1.0
2236,10,BFPP-2CC,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2CD,Brand & Marketing Investment,0.0,-1763447.9826605043,1763447.9826605043,-1.0
2236,10,BFPP-2CK,Brand & Marketing Investment,0.0,-145076.7378664364,145076.7378664364,-1.0
2236,10,BFPP-2CL,Brand & Marketing Investment,0.0,-4374516.148365354,4374516.148365354,-1.0
2236,10,BFPP-2CM,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2CO,Brand & Marketing Investment,0.0,-155790.42026396852,155790.42026396852,-1.0
2236,10,BFPP-2CR,Brand & Marketing Investment,0.0,-7.2257205966860445,7.2257205966860445,-1.0
2236,10,BFPP-2DK,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2DL,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2DN,Brand & Marketing Investment,0.0,-599594.6598565638,599594.6598565638,-1.0
2236,10,BFPP-2DQ,Brand & Marketing Investment,0.0,-42002.71715136386,42002.71715136386,-1.0
2236,10,BFPP-2E6,Brand & Marketing Investment,0.0,-417356.3345650889,417356.3345650889,-1.0
2236,10,BFPP-2E7,Brand & Marketing Investment,0.0,-155334.24831307353,155334.24831307353,-1.0
2236,10,BFPP-2EE,Brand & Marketing Investment,0.0,-1384.4004327771036,1384.4004327771036,-1.0
2236,10,BFPP-2EN,Brand & Marketing Investment,0.0,-6.669895534933231,6.669895534933231,-1.0
2236,10,BFPP-2EQ,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2ER,Brand & Marketing Investment,0.0,-11331.437809487628,11331.437809487628,-1.0
2236,10,BFPP-2EU,Brand & Marketing Investment,0.0,-1234365.4420822794,1234365.4420822794,-1.0
2236,10,BFPP-2EV,Brand & Marketing Investment,0.0,-206072.86294014228,206072.86294014228,-1.0
2236,10,BFPP-2EW,Brand & Marketing Investment,0.0,-65201.010515007016,65201.010515007016,-1.0
2236,10,BFPP-2EY,Brand & Marketing Investment,0.0,-758753.0367387993,758753.0367387993,-1.0
2236,10,BFPP-2F8,Brand & Marketing Investment,0.0,-181175.81471395082,181175.81471395082,-1.0
2236,10,BFPP-2FL,Brand & Marketing Investment,0.0,-16.3571248205841,16.3571248205841,-1.0
2236,10,BFPP-2FM,Brand & Marketing Investment,0.0,-49.46839358001482,49.46839358001482,-1.0
2236,10,BFPP-2FN,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2FO,Brand & Marketing Investment,0.0,-1120740.2608790267,1120740.2608790267,-1.0
2236,10,BFPP-2G2,Brand & Marketing Investment,0.0,-3947.3077848576495,3947.3077848576495,-1.0
2236,10,BFPP-2G3,Brand & Marketing Investment,0.0,-324122.79418434505,324122.79418434505,-1.0
